GRBname,type
GRB1009,L
GRB1025,L
GRB1036,L
GRB1039,L
GRB1042,L
GRB1046,L
GRB105,L
GRB1051,S
GRB107,L
GRB1073,S
GRB1076,S
GRB108,L
GRB1085,L
GRB1086,L
GRB1087,L
GRB1088,S
GRB109,L
GRB1096,S
GRB1097,S
GRB110,L
GRB1102,S
GRB111,L
GRB1112,S
GRB1114,L
GRB1120,L
GRB1122,L
GRB1123,L
GRB1125,L
GRB1126,L
GRB1128,S
GRB1129,S
GRB114,L
GRB1141,L
GRB1145,L
GRB1148,L
GRB1150,L
GRB1152,L
GRB1153,L
GRB1154,S
GRB1156,L
GRB1157,L
GRB1159,L
GRB1167,L
GRB1190,L
GRB1192,L
GRB1196,L
GRB1197,L
GRB1200,L
GRB1204,S
GRB121,L
GRB1211,S
GRB1213,L
GRB1218,L
GRB1221,L
GRB1223,S
GRB1235,L
GRB1244,L
GRB1279,L
GRB1288,L
GRB1289,S
GRB1291,L
GRB1298,S
GRB130,L
GRB1303,L
GRB1306,L
GRB1308,S
GRB1318,L
GRB133,L
GRB1346,S
GRB1359,S
GRB138,S
GRB1382,L
GRB1384,L
GRB1385,L
GRB1390,L
GRB1396,L
GRB1404,S
GRB1406,L
GRB1416,S
GRB1419,L
GRB1425,L
GRB143,L
GRB1432,L
GRB1435,S
GRB1439,L
GRB1440,L
GRB1443,L
GRB1446,L
GRB1447,L
GRB1449,L
GRB1452,L
GRB1453,S
GRB1456,L
GRB1458,L
GRB1461,S
GRB1463,S
GRB1467,L
GRB1468,L
GRB1472,L
GRB148,L
GRB1481,S
GRB1515,L
GRB1518,S
GRB1533,L
GRB1540,L
GRB1541,L
GRB1546,L
GRB1551,L
GRB1552,L
GRB1553,S
GRB1558,L
GRB1559,L
GRB1561,L
GRB1567,L
GRB1574,L
GRB1578,L
GRB1579,L
GRB1580,L
GRB1586,L
GRB1588,S
GRB1590,L
GRB160,L
GRB1601,L
GRB1604,L
GRB1606,L
GRB1609,L
GRB1611,L
GRB1614,L
GRB1623,L
GRB1625,L
GRB1626,L
GRB1628,L
GRB1634,L
GRB1635,S
GRB1636,S
GRB1637,S
GRB1642,L
GRB1646,L
GRB1651,L
GRB1652,L
GRB1653,L
GRB1655,L
GRB1656,L
GRB1657,L
GRB1659,S
GRB1660,L
GRB1661,L
GRB1662,S
GRB1663,L
GRB1664,L
GRB1665,S
GRB1667,L
GRB1676,L
GRB1679,L
GRB1680,S
GRB1683,L
GRB1687,L
GRB1693,L
GRB1694,S
GRB1700,L
GRB1701,S
GRB1704,L
GRB1709,L
GRB171,L
GRB1711,L
GRB1712,L
GRB1714,L
GRB1717,L
GRB1730,L
GRB1731,L
GRB1733,L
GRB1734,L
GRB1736,S
GRB1740,L
GRB1741,S
GRB1742,L
GRB1747,S
GRB1760,S
GRB179,L
GRB1791,S
GRB1806,L
GRB1807,L
GRB1815,L
GRB1819,L
GRB1830,L
GRB185,S
GRB1851,S
GRB1883,L
GRB1885,L
GRB1886,L
GRB1922,L
GRB1924,L
GRB1953,S
GRB1956,L
GRB1967,L
GRB1968,S
GRB1974,L
GRB1982,L
GRB1989,L
GRB1991,L
GRB1993,L
GRB1997,L
GRB2003,S
GRB2018,L
GRB2019,L
GRB2035,S
GRB2037,L
GRB204,L
GRB2040,S
GRB2041,L
GRB2043,S
GRB2044,L
GRB2047,L
GRB2049,S
GRB2053,L
GRB2056,L
GRB2061,L
GRB2067,L
GRB2068,S
GRB2069,L
GRB2070,L
GRB2074,L
GRB2077,L
GRB2079,L
GRB2080,L
GRB2081,L
GRB2083,L
GRB2087,L
GRB2090,L
GRB2093,L
GRB2095,S
GRB2099,S
GRB2101,L
GRB2102,L
GRB2103,S
GRB2105,S
GRB2106,L
GRB211,L
GRB2110,L
GRB2111,L
GRB2112,L
GRB2114,L
GRB2115,S
GRB2117,S
GRB2122,L
GRB2123,L
GRB2125,S
GRB2126,S
GRB2129,L
GRB2132,S
GRB2133,S
GRB2138,L
GRB214,L
GRB2140,L
GRB2142,S
GRB2143,L
GRB2145,S
GRB2146,S
GRB2148,L
GRB2149,L
GRB2151,S
GRB2152,S
GRB2155,S
GRB2156,L
GRB2161,S
GRB2163,S
GRB2167,S
GRB218,S
GRB2181,L
GRB2187,L
GRB2188,L
GRB2189,L
GRB219,L
GRB2190,L
GRB2191,L
GRB2193,L
GRB2197,L
GRB2201,S
GRB2202,L
GRB2203,L
GRB2204,L
GRB2205,S
GRB2206,S
GRB2207,S
GRB2211,L
GRB2213,L
GRB2217,S
GRB2219,L
GRB222,L
GRB2220,S
GRB2228,L
GRB223,L
GRB2230,L
GRB2232,L
GRB2233,L
GRB2240,L
GRB2244,L
GRB2252,L
GRB2253,L
GRB2254,L
GRB226,L
GRB2265,S
GRB2267,L
GRB2268,S
GRB2273,S
GRB2276,L
GRB2277,L
GRB228,L
GRB2283,L
GRB2287,L
GRB2288,S
GRB229,S
GRB2291,S
GRB2298,L
GRB2304,L
GRB2306,L
GRB2309,L
GRB2310,L
GRB2311,L
GRB2312,S
GRB2315,L
GRB2316,L
GRB2317,S
GRB2320,S
GRB2321,L
GRB2324,L
GRB2327,S
GRB2328,L
GRB2329,L
GRB2330,S
GRB2340,L
GRB2344,L
GRB2345,L
GRB2346,L
GRB2347,L
GRB2349,S
GRB235,L
GRB2352,S
GRB2353,S
GRB2357,S
GRB2358,S
GRB2360,S
GRB2362,L
GRB2365,S
GRB2367,L
GRB2368,L
GRB237,L
GRB2371,L
GRB2372,S
GRB2373,L
GRB2375,L
GRB2377,S
GRB2380,L
GRB2381,S
GRB2382,L
GRB2383,L
GRB2384,S
GRB2385,L
GRB2387,L
GRB2391,L
GRB2392,L
GRB2393,L
GRB2394,L
GRB2395,S
GRB2401,L
GRB2405,L
GRB2412,L
GRB2419,L
GRB2423,L
GRB2424,L
GRB2428,L
GRB2429,L
GRB2430,L
GRB2431,L
GRB2432,L
GRB2434,S
GRB2435,L
GRB2436,L
GRB2437,L
GRB2438,L
GRB2440,L
GRB2441,L
GRB2442,L
GRB2443,L
GRB2446,L
GRB2447,L
GRB2448,S
GRB2449,S
GRB2450,L
GRB2451,L
GRB2452,L
GRB2453,L
GRB2454,S
GRB2458,L
GRB2460,S
GRB2463,S
GRB2472,L
GRB2476,L
GRB2477,L
GRB2482,L
GRB2484,L
GRB2485,S
GRB2487,S
GRB249,L
GRB2495,L
GRB2496,L
GRB2500,L
GRB2502,S
GRB2504,S
GRB2505,L
GRB2508,L
GRB2510,L
GRB2511,L
GRB2512,S
GRB2513,L
GRB2514,S
GRB2515,L
GRB2519,L
GRB2522,L
GRB2523,S
GRB2528,L
GRB2529,S
GRB2530,L
GRB2533,L
GRB2536,S
GRB2537,L
GRB254,S
GRB2541,L
GRB2551,L
GRB2560,L
GRB2564,S
GRB2569,L
GRB257,L
GRB2570,L
GRB2581,L
GRB2583,S
GRB2585,S
GRB2586,L
GRB2589,L
GRB2593,L
GRB2597,S
GRB2599,S
GRB2600,L
GRB2603,L
GRB2606,L
GRB2608,L
GRB2610,L
GRB2611,S
GRB2614,S
GRB2619,L
GRB2620,L
GRB2623,L
GRB2628,L
GRB2632,S
GRB2633,S
GRB2634,L
GRB2636,L
GRB2640,L
GRB2641,L
GRB2649,S
GRB2660,L
GRB2662,L
GRB2663,L
GRB2664,L
GRB2665,L
GRB2671,L
GRB2677,L
GRB2679,S
GRB2680,L
GRB2681,L
GRB2688,L
GRB2690,S
GRB2691,L
GRB2693,S
GRB2695,L
GRB2696,L
GRB2697,L
GRB2700,L
GRB2701,S
GRB2703,L
GRB2709,L
GRB2711,L
GRB2715,S
GRB2719,L
GRB2725,L
GRB2727,L
GRB2728,L
GRB2736,L
GRB2748,S
GRB2749,L
GRB2750,L
GRB2751,L
GRB2753,L
GRB2755,S
GRB2757,S
GRB2760,L
GRB2767,L
GRB2770,L
GRB2774,L
GRB2775,L
GRB2776,S
GRB2780,L
GRB2788,S
GRB2790,L
GRB2793,L
GRB2795,S
GRB2797,L
GRB2798,L
GRB2799,L
GRB2800,S
GRB2801,S
GRB2810,L
GRB2812,L
GRB2814,S
GRB2815,L
GRB2821,S
GRB2823,S
GRB2825,L
GRB2828,S
GRB2830,S
GRB2831,L
GRB2834,S
GRB2843,L
GRB2844,S
GRB2848,L
GRB2849,S
GRB2850,S
GRB2851,S
GRB2852,L
GRB2853,L
GRB2855,L
GRB2856,L
GRB2857,L
GRB2860,S
GRB2861,L
GRB2862,L
GRB2863,L
GRB2864,L
GRB2877,L
GRB2879,S
GRB288,L
GRB2880,L
GRB2889,L
GRB289,S
GRB2890,L
GRB2891,L
GRB2892,S
GRB2893,L
GRB2894,L
GRB2896,S
GRB2897,L
GRB2898,L
GRB2901,L
GRB2910,S
GRB2913,L
GRB2916,L
GRB2917,L
GRB2918,S
GRB2919,L
GRB2922,L
GRB2924,L
GRB2925,L
GRB2927,L
GRB2929,L
GRB2931,L
GRB2932,L
GRB2933,S
GRB2944,L
GRB2945,S
GRB2947,L
GRB2948,L
GRB2950,L
GRB2951,L
GRB2952,S
GRB2958,L
GRB2961,L
GRB2964,S
GRB2966,S
GRB297,S
GRB2973,S
GRB2975,S
GRB2977,S
GRB2978,S
GRB298,S
GRB2980,S
GRB2984,L
GRB2985,L
GRB2986,S
GRB2987,S
GRB2988,L
GRB2990,L
GRB2992,L
GRB2993,L
GRB2994,L
GRB2995,S
GRB2996,L
GRB2998,L
GRB3001,L
GRB3003,L
GRB3005,L
GRB3011,L
GRB3012,L
GRB3015,L
GRB3016,L
GRB3017,L
GRB3026,L
GRB3027,S
GRB3028,S
GRB3029,L
GRB3032,L
GRB3035,L
GRB3036,L
GRB3039,L
GRB3040,L
GRB3042,L
GRB3043,S
GRB3051,S
GRB3055,L
GRB3056,L
GRB3057,L
