GRBname,type
GRB080714086,L
GRB080714425,L
GRB080714745,L
GRB080715950,L
GRB080717543,L
GRB080719529,L
GRB080723557,L
GRB080723913,S
GRB080723985,L
GRB080724401,L
GRB080725435,L
GRB080725541,S
GRB080727964,L
GRB080730520,L
GRB080730786,L
GRB080802386,S
GRB080803772,L
GRB080804456,L
GRB080804972,L
GRB080805496,L
GRB080805584,L
GRB080806584,L
GRB080806896,L
GRB080807993,L
GRB080808451,L
GRB080808565,L
GRB080808772,L
GRB080809808,L
GRB080812889,L
GRB080815917,S
GRB080816503,L
GRB080816989,L
GRB080817161,L
GRB080817720,L
GRB080818579,L
GRB080818945,L
GRB080821332,L
GRB080823363,L
GRB080824909,L
GRB080825593,L
GRB080828189,S
GRB080829790,L
GRB080830368,L
GRB080831053,S
GRB080831921,L
GRB080904886,L
GRB080905499,S
GRB080905570,L
GRB080905705,L
GRB080906212,L
GRB080912360,L
GRB080913735,L
GRB080916009,L
GRB080916406,L
GRB080919790,S
GRB080920268,L
GRB080924766,L
GRB080925775,L
GRB080927480,L
GRB080928628,L
GRB081003644,L
GRB081006604,S
GRB081006872,L
GRB081009140,L
GRB081009690,L
GRB081012549,L
GRB081017474,L
GRB081021398,L
GRB081022364,L
GRB081024245,S
GRB081024851,L
GRB081024891,S
GRB081025349,L
GRB081028538,L
GRB081101167,L
GRB081101491,S
GRB081101532,L
GRB081102365,S
GRB081102739,L
GRB081105614,S
GRB081107321,S
GRB081109293,L
GRB081110601,L
GRB081113230,S
GRB081115891,S
GRB081118876,L
GRB081119184,S
GRB081120618,L
GRB081121858,L
GRB081122520,L
GRB081122614,S
GRB081124060,L
GRB081125496,L
GRB081126899,L
GRB081130212,L
GRB081204004,L
GRB081204517,S
GRB081206275,L
GRB081206604,L
GRB081206987,L
GRB081207680,L
GRB081209981,S
GRB081213173,S
GRB081215784,L
GRB081215880,L
GRB081216531,S
GRB081217983,L
GRB081221681,L
GRB081222204,L
GRB081223419,S
GRB081224887,L
GRB081225257,L
GRB081226044,S
GRB081226156,L
GRB081226509,S
GRB081229187,S
GRB081230871,S
GRB081231140,L
GRB090101758,L
GRB090102122,L
GRB090107681,L
GRB090108322,S
GRB090109332,S
GRB090112332,L
GRB090113778,L
GRB090117335,L
GRB090117632,L
GRB090117640,L
GRB090120627,S
GRB090126227,L
GRB090129880,L
GRB090131090,L
GRB090202347,L
GRB090206620,S
GRB090207777,L
GRB090217206,L
GRB090219074,S
GRB090222179,L
GRB090225009,L
GRB090227310,S
GRB090227772,S
GRB090228204,S
GRB090228976,L
GRB090301315,L
GRB090304216,L
GRB090305052,S
GRB090306245,L
GRB090307167,L
GRB090308734,S
GRB090309767,L
GRB090310189,L
GRB090316311,L
GRB090319622,L
GRB090320045,S
GRB090320418,L
GRB090320801,L
GRB090326633,L
GRB090327404,L
GRB090328401,L
GRB090328713,S
GRB090330279,L
GRB090331681,S
GRB090403314,L
GRB090405663,S
GRB090409288,L
GRB090411838,L
GRB090411991,L
GRB090412061,S
GRB090413122,L
GRB090418816,L
GRB090419997,L
GRB090422150,L
GRB090423330,L
GRB090424592,L
GRB090425377,L
GRB090426066,L
GRB090426690,L
GRB090427644,S
GRB090427688,L
GRB090428441,L
GRB090428552,L
GRB090429530,L
GRB090429753,S
GRB090502777,L
GRB090509215,L
GRB090510016,S
GRB090510325,L
GRB090511684,L
GRB090513941,L
GRB090514006,L
GRB090514726,L
GRB090514734,L
GRB090516137,L
GRB090516353,L
GRB090516853,L
GRB090518080,L
GRB090519462,L
GRB090519881,L
GRB090520832,S
GRB090520850,L
GRB090520876,L
GRB090522344,L
GRB090524346,L
GRB090528173,L
GRB090528516,L
GRB090529310,L
GRB090529564,L
GRB090530760,L
GRB090531775,S
GRB090602564,L
GRB090606471,L
GRB090608052,L
GRB090610648,S
GRB090610723,L
GRB090610883,L
GRB090612619,L
GRB090616157,S
GRB090617208,S
GRB090618353,L
GRB090620400,L
GRB090620901,S
GRB090621185,L
GRB090621417,L
GRB090621447,L
GRB090621922,S
GRB090623107,L
GRB090623913,L
GRB090625234,L
GRB090625560,L
GRB090626189,L
GRB090629543,L
GRB090630311,L
GRB090701225,L
GRB090703329,L
GRB090704242,L
GRB090704783,L
GRB090706283,L
GRB090708152,L
GRB090709630,L
GRB090711850,L
GRB090712160,L
GRB090717111,S
GRB090718720,L
GRB090720276,L
GRB090720710,L
GRB090725838,L
GRB090730608,L
GRB090802235,S
GRB090802666,L
GRB090804940,L
GRB090805622,L
GRB090807832,L
GRB090809978,L
GRB090810659,L
GRB090810781,L
GRB090811696,L
GRB090813174,L
GRB090814368,S
GRB090814950,L
GRB090815300,L
GRB090815438,L
GRB090815946,L
GRB090817036,L
GRB090819607,S
GRB090820027,L
GRB090820509,L
GRB090823133,L
GRB090824918,L
GRB090826068,L
GRB090828099,L
GRB090829672,L
GRB090829702,L
GRB090831317,L
GRB090902401,S
GRB090902462,L
GRB090904058,L
GRB090904581,L
GRB090907017,L
GRB090907808,S
GRB090908314,L
GRB090908341,L
GRB090909487,L
GRB090909854,S
GRB090910812,L
GRB090912660,L
GRB090915650,L
GRB090917661,L
GRB090920035,L
GRB090922539,L
GRB090922605,L
GRB090924625,S
GRB090925389,L
GRB090926181,L
GRB090926914,L
GRB090927422,S
GRB090928646,L
GRB090929190,L
GRB091002685,L
GRB091003191,L
GRB091005679,L
GRB091006360,S
GRB091010113,L
GRB091012783,S
GRB091013989,L
GRB091015129,L
GRB091017861,S
GRB091017985,L
GRB091018957,S
GRB091019750,S
GRB091020900,L
GRB091020977,L
GRB091023021,L
GRB091024372,L
GRB091024380,L
GRB091026485,L
GRB091026550,L
GRB091030613,L
GRB091030828,L
GRB091031500,L
GRB091101143,L
GRB091102607,L
GRB091103912,L
GRB091106762,L
GRB091107635,L
GRB091109895,L
GRB091112737,L
GRB091112928,L
GRB091115177,L
GRB091117080,L
GRB091120191,L
GRB091122163,S
GRB091123081,L
GRB091123298,L
GRB091126333,S
GRB091127976,L
GRB091128285,L
GRB091201089,L
GRB091202072,L
GRB091202219,L
GRB091207333,L
GRB091208410,L
GRB091209001,L
GRB091215234,L
GRB091219462,L
GRB091220442,L
GRB091221870,L
GRB091223191,S
GRB091223511,L
GRB091224373,S
GRB091227294,L
GRB091230260,L
GRB091230712,L
GRB091231206,L
GRB091231540,L
GRB100101028,L
GRB100101988,S
GRB100107074,S
GRB100111176,L
GRB100112418,L
GRB100116897,L
GRB100117879,S
GRB100118100,L
GRB100122616,L
GRB100126460,L
GRB100130729,L
GRB100130777,L
GRB100131730,L
GRB100201588,L
GRB100204024,L
GRB100204566,L
GRB100204858,S
GRB100205490,L
GRB100206563,S
GRB100207665,L
GRB100207721,L
GRB100208386,S
GRB100210101,L
GRB100211440,L
GRB100212550,L
GRB100212588,L
GRB100216422,S
GRB100218194,L
GRB100219026,L
GRB100221368,L
GRB100223110,S
GRB100224112,L
GRB100225115,L
GRB100225249,L
GRB100225580,L
GRB100225703,L
GRB100228544,L
GRB100228873,L
GRB100301068,S
GRB100301223,L
GRB100302061,S
GRB100304004,L
GRB100304534,L
GRB100306199,L
GRB100307928,L
GRB100311518,L
GRB100313288,L
GRB100313509,L
GRB100315361,L
GRB100318611,L
GRB100322045,L
GRB100323542,L
GRB100324172,L
GRB100325246,L
GRB100325275,L
GRB100326294,L
GRB100326402,L
GRB100328141,S
GRB100330309,L
GRB100330856,S
GRB100401297,L
GRB100406758,L
GRB100410356,L
GRB100410740,L
GRB100411516,L
GRB100413732,L
GRB100414097,L
GRB100417166,S
GRB100417789,L
GRB100420008,L
GRB100421917,L
GRB100423244,L
GRB100424729,L
GRB100424876,L
GRB100427356,L
GRB100429999,L
GRB100502356,L
GRB100503554,L
GRB100504806,L
GRB100506653,L
GRB100507577,L
GRB100510810,L
GRB100511035,L
GRB100513879,L
GRB100515467,L
GRB100516369,S
GRB100516396,S
GRB100517072,L
GRB100517132,L
GRB100517154,L
GRB100517243,L
GRB100517639,L
GRB100519204,L
GRB100522157,L
GRB100525744,S
GRB100527795,L
GRB100528075,L
GRB100530737,L
GRB100604287,L
GRB100605774,L
GRB100608382,L
GRB100609783,L
GRB100612545,S
GRB100612726,L
GRB100614498,L
GRB100615083,L
GRB100616773,S
GRB100619015,L
GRB100620119,L
GRB100621452,L
GRB100625773,S
GRB100625891,L
GRB100629801,S
GRB100701490,L
GRB100704149,L
GRB100706693,S
GRB100707032,L
GRB100709602,L
GRB100713980,S
GRB100714672,L
GRB100714686,L
GRB100715477,L
GRB100717372,S
GRB100717446,S
GRB100718160,L
GRB100718796,L
GRB100719311,L
GRB100719825,L
GRB100719989,L
GRB100722096,L
GRB100724029,L
GRB100725475,L
GRB100727238,L
GRB100728095,L
GRB100728439,L
GRB100730463,L
GRB100802240,L
GRB100804104,L
GRB100805300,S
GRB100805845,L
GRB100810049,L
GRB100811108,S
GRB100811781,L
GRB100814160,L
GRB100814351,L
GRB100816009,L
GRB100816026,L
GRB100819498,L
GRB100820373,L
GRB100825287,L
GRB100826957,L
GRB100827455,S
GRB100829374,L
GRB100829876,L
GRB100831651,L
GRB100902990,L
GRB100905907,L
GRB100906576,L
GRB100907751,L
GRB100910818,L
GRB100911816,L
GRB100915243,L
GRB100916779,L
GRB100918863,L
GRB100919884,L
GRB100922625,S
GRB100923844,L
GRB100924165,L
GRB100926595,L
GRB100926694,L
GRB100929235,L
GRB100929315,L
GRB100929916,S
GRB101002279,L
GRB101003244,L
GRB101004426,L
GRB101008697,L
GRB101010190,L
GRB101011707,L
GRB101013412,L
GRB101014175,L
GRB101015558,L
GRB101016243,L
GRB101017619,L
GRB101021009,L
GRB101021063,S
GRB101023951,L
GRB101024486,L
GRB101025146,L
GRB101026034,S
GRB101027230,S
GRB101030664,L
GRB101031625,S
GRB101101744,S
GRB101101899,L
GRB101102840,L
GRB101104810,S
GRB101107011,L
GRB101112924,L
GRB101112984,L
GRB101113483,L
GRB101116481,S
GRB101117496,L
GRB101123952,L
GRB101126198,L
GRB101127093,L
GRB101127102,L
GRB101128322,L
GRB101129652,S
GRB101129726,S
GRB101130074,L
GRB101201418,L
GRB101202154,L
GRB101204343,S
GRB101205309,L
GRB101206036,L
GRB101208203,S
GRB101208498,L
GRB101211485,L
GRB101213451,L
GRB101213849,L
GRB101214748,S
GRB101214993,L
GRB101216721,L
GRB101219686,L
GRB101220576,L
GRB101220864,L
GRB101223834,L
GRB101224227,S
GRB101224578,L
GRB101224614,L
GRB101224998,L
GRB101225377,L
GRB101227195,L
GRB101227406,L
GRB101227536,L
GRB101231067,L
GRB110101202,S
GRB110101506,L
GRB110102788,L
GRB110105877,L
GRB110106893,L
GRB110107886,L
GRB110108977,L
GRB110112934,S
GRB110117364,L
GRB110117626,S
GRB110118857,L
GRB110119931,L
GRB110120666,L
GRB110123804,L
GRB110124784,S
GRB110125894,L
GRB110128073,L
GRB110130230,L
GRB110131780,S
GRB110201399,L
GRB110204179,L
GRB110205027,L
GRB110205588,L
GRB110206202,L
GRB110207470,L
GRB110207959,L
GRB110209165,L
GRB110212550,S
GRB110213220,L
GRB110213876,S
GRB110217591,L
GRB110220761,L
GRB110221244,L
GRB110226989,L
GRB110227009,S
GRB110227229,L
GRB110227420,L
GRB110228011,L
GRB110228792,L
GRB110301214,L
GRB110302043,L
GRB110304071,L
GRB110307972,L
GRB110311812,L
GRB110316139,S
GRB110318552,L
GRB110319628,L
GRB110319815,L
GRB110321346,L
GRB110322558,L
GRB110328520,L
GRB110331604,S
GRB110401920,S
GRB110402009,L
GRB110407998,L
GRB110409179,S
GRB110410133,L
GRB110410772,L
GRB110411629,L
GRB110412315,L
GRB110413938,L
GRB110415541,L
GRB110420946,S
GRB110421757,L
GRB110422029,S
GRB110424758,S
GRB110426629,L
GRB110428338,L
GRB110428388,L
GRB110430375,L
GRB110503145,L
GRB110505203,L
GRB110509142,L
GRB110509475,S
GRB110511616,L
GRB110517453,S
GRB110517573,L
GRB110520302,L
GRB110521478,L
GRB110522256,L
GRB110522296,L
GRB110522633,S
GRB110523344,L
GRB110526715,S
GRB110528624,L
GRB110529034,S
GRB110529262,L
GRB110529811,L
GRB110531448,L
GRB110601681,L
GRB110605183,L
GRB110605780,S
GRB110609185,L
GRB110609425,L
GRB110610640,L
GRB110613631,L
GRB110616648,L
GRB110618366,L
GRB110618760,L
GRB110622158,L
GRB110624906,L
GRB110625579,L
GRB110625881,L
GRB110626448,L
GRB110629174,L
GRB110702187,L
GRB110703557,L
GRB110705151,S
GRB110705364,L
GRB110706202,L
GRB110706477,L
GRB110706728,L
GRB110706977,L
GRB110709463,L
GRB110709642,L
GRB110709862,L
GRB110710954,L
GRB110716018,L
GRB110717180,S
GRB110717319,L
GRB110720177,L
GRB110721200,L
GRB110722694,L
GRB110722710,L
GRB110725236,L
GRB110726211,L
GRB110728056,L
GRB110729142,L
GRB110730008,L
GRB110730660,L
GRB110731465,L
GRB110801335,S
GRB110803783,L
GRB110806934,L
GRB110809461,L
GRB110812899,L
GRB110813237,L
GRB110817191,L
GRB110818860,L
GRB110819665,L
GRB110820476,L
GRB110824009,L
GRB110825102,L
GRB110825265,L
GRB110828575,L
GRB110831282,L
GRB110901230,L
GRB110903009,L
GRB110903111,L
GRB110904124,L
GRB110904163,L
GRB110904531,L
GRB110906302,L
GRB110909116,L
GRB110916016,L
GRB110919634,L
GRB110920338,L
GRB110920546,L
GRB110921444,L
GRB110921577,L
GRB110921912,L
GRB110923835,L
GRB110926107,L
GRB110928180,L
GRB110929187,L
GRB110930564,L
GRB111001804,S
GRB111003465,L
GRB111005398,L
GRB111008992,L
GRB111009282,L
GRB111010237,L
GRB111010660,L
GRB111010709,L
GRB111010899,L
GRB111011094,S
GRB111012456,L
GRB111012811,L
GRB111015427,L
GRB111017657,L
GRB111018595,L
GRB111018785,L
GRB111022854,S
GRB111024722,L
GRB111024896,S
GRB111025078,L
GRB111103441,L
GRB111103948,S
GRB111105457,L
GRB111107035,L
GRB111107076,L
GRB111109453,L
GRB111109873,L
GRB111112908,S
GRB111113410,L
GRB111114233,L
GRB111117510,S
GRB111117526,L
GRB111120556,L
GRB111124308,L
GRB111127810,L
GRB111201599,L
GRB111203054,L
GRB111203609,L
GRB111207512,S
GRB111208353,L
GRB111216389,L
GRB111220486,L
GRB111221739,L
GRB111222619,S
GRB111226795,L
GRB111228453,L
GRB111228657,L
GRB111230683,L
GRB111230819,L
GRB120101354,S
GRB120102095,L
GRB120102416,L
GRB120105584,L
GRB120107384,L
GRB120109824,L
GRB120111051,L
GRB120114433,L
GRB120114681,L
GRB120118709,L
GRB120118898,L
GRB120119170,L
GRB120119229,L
GRB120119354,L
GRB120120432,L
GRB120121101,L
GRB120121251,L
GRB120122300,L
GRB120129312,S
GRB120129580,L
GRB120130699,L
GRB120130906,L
GRB120130938,L
GRB120203812,L
GRB120204054,L
GRB120205285,S
GRB120206949,L
GRB120210650,L
GRB120212353,S
GRB120212383,L
GRB120213606,L
GRB120217808,L
GRB120217904,L
GRB120218276,L
GRB120219563,L
GRB120220210,L
GRB120222021,S
GRB120222119,L
GRB120223933,L
GRB120224282,L
GRB120224898,L
GRB120226447,L
GRB120226871,L
GRB120227391,L
GRB120227725,L
GRB120302080,L
GRB120302722,S
GRB120304061,L
GRB120304248,L
GRB120308588,L
GRB120312671,L
GRB120314412,S
GRB120316008,L
GRB120319983,L
GRB120323162,L
GRB120323507,S
GRB120326056,L
GRB120327418,S
GRB120328268,L
GRB120331055,L
GRB120402669,L
GRB120403857,L
GRB120410585,S
GRB120411925,L
GRB120412055,L
GRB120412920,L
GRB120415076,L
GRB120415891,S
GRB120415958,L
GRB120420249,L
GRB120420858,L
GRB120426090,L
GRB120426585,L
GRB120427054,L
GRB120427153,L
GRB120429003,S
GRB120429484,L
GRB120430980,L
GRB120504468,L
GRB120504945,L
GRB120506128,L
GRB120509619,S
GRB120510900,L
GRB120511638,L
GRB120512112,L
GRB120513531,L
GRB120519721,S
GRB120520949,L
GRB120521380,L
GRB120522361,L
GRB120524134,S
GRB120526303,L
GRB120528442,L
GRB120530121,L
GRB120531393,L
GRB120603439,S
GRB120604220,L
GRB120604343,L
GRB120605453,L
GRB120608489,S
GRB120608777,L
GRB120609580,S
GRB120611108,L
GRB120612680,L
GRB120612687,S
GRB120616630,S
GRB120618128,L
GRB120618919,L
GRB120619884,L
GRB120624309,S
GRB120624933,L
GRB120625119,L
GRB120629565,S
GRB120702891,L
GRB120703417,L
GRB120703498,L
GRB120703726,L
GRB120707800,L
GRB120709883,L
GRB120710100,L
GRB120711115,L
GRB120711446,L
GRB120712571,L
GRB120713226,L
GRB120715066,L
GRB120716577,L
GRB120716712,L
GRB120719146,L
GRB120727681,L
GRB120728434,L
GRB120728934,L
GRB120729456,L
GRB120801920,L
GRB120806007,L
GRB120811014,S
GRB120811649,L
GRB120814201,S
GRB120814803,S
GRB120817057,L
GRB120817168,S
GRB120819048,L
GRB120820585,L
GRB120822628,S
GRB120824594,L
GRB120827216,L
GRB120830212,L
GRB120830297,S
GRB120830702,L
GRB120831901,S
GRB120905657,L
