GRBname,type
GRB041217,L
GRB041219C,L
GRB041220,L
GRB041223,L
GRB041224,L
GRB041226,L
GRB041228,L
GRB050117,L
GRB050124,L
GRB050126,L
GRB050128,L
GRB050202,S
GRB050215A,L
GRB050215B,L
GRB050219A,L
GRB050219B,L
GRB050223,L
GRB050306,L
GRB050315,L
GRB050318,L
GRB050319,L
GRB050326,L
GRB050401,L
GRB050406,L
GRB050410,L
GRB050412,L
GRB050416A,L
GRB050416B,L
GRB050418,L
GRB050421,L
GRB050422,L
GRB050502B,L
GRB050505,L
GRB050507,L
GRB050509A,L
GRB050525A,L
GRB050528,L
GRB050603,L
GRB050607,L
GRB050701,L
GRB050712,L
GRB050713A,L
GRB050713B,L
GRB050714B,L
GRB050715,L
GRB050716,L
GRB050717,L
GRB050721,L
GRB050724,L
GRB050726,L
GRB050730,L
GRB050801,L
GRB050802,L
GRB050803,L
GRB050813,S
GRB050814,L
GRB050815,L
GRB050819,L
GRB050820A,L
GRB050820B,L
GRB050822,L
GRB050824,L
GRB050826,L
GRB050827,L
GRB050904,L
GRB050908,L
GRB050911,L
GRB050915A,L
GRB050915B,L
GRB050916,L
GRB050922B,L
GRB050922C,L
GRB050925,S
GRB051001,L
GRB051006,L
GRB051008,L
GRB051012,L
GRB051016A,L
GRB051016B,L
GRB051021B,L
GRB051105A,S
GRB051109A,L
GRB051109B,L
GRB051111,L
GRB051113,L
GRB051114,S
GRB051117A,L
GRB051117B,L
GRB051210,S
GRB051213,L
GRB051221A,S
GRB051221B,L
GRB051227,L
GRB060102,L
GRB060105,L
GRB060108,L
GRB060109,L
GRB060110,L
GRB060111A,L
GRB060111B,L
GRB060115,L
GRB060116,L
GRB060117,L
GRB060124,L
GRB060202,L
GRB060203,L
GRB060204B,L
GRB060206,L
GRB060210,L
GRB060211A,L
GRB060211B,L
GRB060219,L
GRB060223A,L
GRB060223B,L
GRB060306,L
GRB060312,L
GRB060313,S
GRB060319,L
GRB060322,L
GRB060323,L
GRB060403,L
GRB060413,L
GRB060418,L
GRB060421,L
GRB060424,L
GRB060427,L
