Name,Other Name,Type,BATSE Type,BATSE Prob.,Swift Type,Swift Prob.,Fermi Type,Fermi Prob.
GRB910421,,L,L,0.0,,,,
GRB910423,,L,L,0.0,,,,
GRB910424,,L,L,0.01,,,,
GRB910425A,,L,L,0.0,,,,
GRB910425B,,L,L,0.0,,,,
GRB910426,,L,L,0.0,,,,
GRB910427,,L,L,0.0,,,,
GRB910429,,L,L,0.0,,,,
GRB910430,,L,L,0.0,,,,
GRB910501,,L,L,0.0,,,,
GRB910502A,,S,S,1.0,,,,
GRB910503,,L,L,0.0,,,,
GRB910505,,L,L,0.0,,,,
GRB910507,,L,L,0.0,,,,
GRB910509,,L,L,0.0,,,,
GRB910511,,A,A,0.12,,,,
GRB910512,,S,S,1.0,,,,
GRB910517A,,L,L,0.0,,,,
GRB910518A,,S,S,1.0,,,,
GRB910518B,,L,L,0.0,,,,
GRB910521A,,L,L,0.0,,,,
GRB910521B,,A,A,0.38,,,,
GRB910523A,,L,L,0.0,,,,
GRB910523B,,A,A,0.27,,,,
GRB910525,,L,L,0.0,,,,
GRB910526A,,L,L,0.04,,,,
GRB910526B,,S,S,1.0,,,,
GRB910528,,L,L,0.0,,,,
GRB910529,,L,L,0.0,,,,
GRB910601,,L,L,0.0,,,,
GRB910602B,,L,L,0.0,,,,
GRB910607A,,L,L,0.0,,,,
GRB910607B,,S,S,1.0,,,,
GRB910608,,S,S,1.0,,,,
GRB910609,,S,S,1.0,,,,
GRB910612,,L,L,0.0,,,,
GRB910614A,,L,L,0.0,,,,
GRB910616,,A,A,0.58,,,,
GRB910619,,L,L,0.0,,,,
GRB910620A,,L,L,0.0,,,,
GRB910620B,,L,L,0.09,,,,
GRB910621A,,L,L,0.0,,,,
GRB910621B,,L,L,0.0,,,,
GRB910622,,L,L,0.0,,,,
GRB910625,,S,S,1.0,,,,
GRB910626,,S,S,1.0,,,,
GRB910627,,L,L,0.0,,,,
GRB910629A,,L,L,0.0,,,,
GRB910629B,,L,L,0.0,,,,
GRB910630,,L,L,0.0,,,,
GRB910701,,L,L,0.0,,,,
