name,T90,T90_start
GRB080714086,5.376,-0.768
GRB080714425,40.192,-4.352
GRB080714745,59.649,-0.512
GRB080715950,7.872,0.128
GRB080717543,36.608,-5.376
GRB080719529,16.128,-4.352
GRB080723557,58.369,2.368
GRB080723913,0.192,-0.064
GRB080723985,42.816,3.072
GRB080724401,379.397,10.816
GRB080725435,25.92,-2.816
GRB080725541,0.96,-0.128
GRB080727964,89.089,-13.312
GRB080730520,17.408,-0.576
GRB080730786,13.312,-0.576
GRB080802386,0.576,-0.064
GRB080803772,26.24,-0.256
GRB080804456,521.862,-9.216
GRB080804972,24.704,0.256
GRB080805496,29.44,-1.792
GRB080805584,65.665,-4.864
GRB080806584,2.304,-2.112
GRB080806896,75.777,-35.328
GRB080807993,19.072,0.0
GRB080808451,4.352,-1.536
GRB080808565,17.728,1.728
GRB080808772,210.178,-168.002
GRB080809808,28.16,-9.728
GRB080810549,75.201,-3.2
GRB080812889,15.04,-1.792
GRB080815917,0.832,-0.32
GRB080816503,64.769,1.28
GRB080816989,4.608,-0.064
GRB080817161,60.289,2.048
GRB080817720,4.416,-0.08
GRB080818579,59.329,-2.944
GRB080818945,13.376,-0.512
GRB080821332,5.888,-1.28
GRB080823363,43.456,-1.28
GRB080824909,7.424,-3.264
GRB080825593,20.992,1.216
GRB080828189,3.008,-0.128
GRB080829790,7.68,-0.32
GRB080830368,40.897,-1.536
GRB080831053,0.576,-0.288
GRB080831921,74.497,1.344
GRB080904886,17.344,-2.56
GRB080905499,0.96,-0.064
GRB080905570,26.624,-7.168
GRB080905705,105.984,-5.12
GRB080906212,2.875,0.005
GRB080912360,16.384,-3.072
GRB080913735,41.217,-0.256
GRB080916009,62.977,1.28
GRB080916406,46.337,0.512
GRB080919790,0.512,-0.128
GRB080920268,113.921,-3.328
GRB080924766,39.937,-11.264
GRB080925775,31.744,-1.024
GRB080927480,45.313,-0.256
GRB080928628,14.336,-1.792
GRB081003644,50.177,-3.072
GRB081006604,6.4,-0.256
GRB081006872,3.328,-0.512
