name,file version
GRB080714086,2
GRB080714425,2
GRB080714745,2
GRB080715950,2
GRB080717543,2
GRB080719529,2
GRB080723557,2
GRB080723913,2
GRB080723985,2
GRB080724401,2
GRB080725435,2
GRB080725541,2
GRB080727964,2
GRB080730520,2
GRB080730786,2
GRB080802386,2
GRB080803772,2
GRB080804456,3
GRB080804972,2
GRB080805496,2
GRB080805584,2
GRB080806584,2
GRB080806896,2
GRB080807993,2
GRB080808451,2
GRB080808565,2
GRB080809808,2
GRB080812889,2
GRB080815917,1
GRB080816503,3
GRB080816989,3
GRB080817161,4
GRB080817720,3
GRB080818579,1
GRB080818945,1
GRB080821332,1
GRB080823363,1
GRB080824909,1
GRB080825593,1
GRB080828189,1
GRB080829790,1
GRB080830368,1
GRB080831053,2
GRB080831921,1
GRB080904886,1
GRB080905499,1
GRB080905570,1
GRB080905705,1
GRB080906212,4
GRB080912360,1
GRB080913735,1
GRB080916009,1
GRB080916406,1
GRB080919790,1
GRB080920268,1
GRB080924766,1
GRB080927480,1
GRB080928628,2
GRB081003644,1
GRB081006604,1
GRB081006872,1
GRB081009140,1
GRB081009690,2
GRB081012549,1
GRB081017474,1
GRB081021398,1
GRB081022364,1
GRB081024245,1
GRB081024851,1
GRB081024891,1
GRB081025349,1
GRB081028538,1
GRB081101167,1
GRB081101491,1
GRB081101532,4
GRB081102365,1
GRB081102739,1
GRB081105614,4
GRB081107321,1
GRB081109293,3
GRB081110601,1
GRB081113230,1
GRB081115891,1
GRB081118876,1
GRB081119184,3
GRB081120618,1
GRB081121858,1
GRB081122520,1
GRB081122614,1
GRB081124060,1
GRB081126899,1
GRB081130212,1
GRB081204004,2
GRB081204517,1
GRB081206275,3
GRB081206604,1
GRB081206987,1
GRB081207680,2
GRB081209981,3
GRB081213173,1
GRB081215784,2
GRB081215880,1
GRB081216531,2
GRB081217983,4
GRB081221681,3
GRB081222204,1
GRB081223419,1
GRB081224887,2
GRB081225257,1
GRB081226044,1
GRB081226156,2
GRB081226509,1
GRB081229187,1
GRB081229675,0
GRB081230871,1
GRB090101758,1
GRB090102122,1
GRB090108322,2
GRB090109332,2
GRB090112332,2
GRB090113778,1
GRB090117335,1
GRB090117632,2
GRB090117640,1
GRB090120627,1
GRB090126227,3
GRB090126245,1
GRB090129880,1
