name,fluence
GRB080714086,1.03072e-06
GRB080714425,1.705738e-06
GRB080714745,4.818276e-06
GRB080715950,5.322908e-06
GRB080717543,4.471872e-06
GRB080719529,1.405394e-06
GRB080723557,8.350178e-05
GRB080723913,2.337916e-07
GRB080723985,3.569215e-05
GRB080724401,1.168313e-05
GRB080725435,9.369262e-06
GRB080725541,8.139694e-07
GRB080727964,1.080848e-05
GRB080730520,5.760165e-06
GRB080730786,5.713577e-06
GRB080802386,7.737857e-07
GRB080803772,4.785341e-06
GRB080804456,2.430172e-06
GRB080804972,1.111208e-05
GRB080805496,1.339675e-06
GRB080805584,3.629113e-06
GRB080806584,5.786153e-07
GRB080806896,1.157737e-05
GRB080807993,6.96693e-06
GRB080808451,5.579803e-07
GRB080808565,4.519509e-06
GRB080808772,6.824177e-07
GRB080809808,2.665594e-06
GRB080810549,1.444257e-05
GRB080812889,2.593633e-06
GRB080815917,3.706627e-07
GRB080816503,1.30927e-05
GRB080816989,3.210673e-06
GRB080817161,5.485771e-05
GRB080817720,1.418652e-06
GRB080818579,3.490585e-06
GRB080818945,1.710925e-06
GRB080821332,3.241583e-06
GRB080823363,6.618761e-06
GRB080824909,3.356243e-06
GRB080825593,3.733617e-05
GRB080828189,2.027299e-07
GRB080829790,2.064983e-06
GRB080830368,5.276298e-06
GRB080831053,5.991563e-08
GRB080831921,4.193548e-06
GRB080904886,4.361836e-06
GRB080905499,3.929066e-07
GRB080905570,3.234359e-06
GRB080905705,1.96355e-06
GRB080906212,8.574833e-06
GRB080912360,2.466215e-06
GRB080913735,2.326203e-06
GRB080916009,8.399932e-05
GRB080916406,1.295614e-05
GRB080919790,1.107644e-07
GRB080920268,6.252591e-07
GRB080924766,3.709199e-06
GRB080925775,1.896096e-05
GRB080927480,2.675461e-06
GRB080928628,1.986763e-06
GRB081003644,1.020803e-05
GRB081006604,1.723555e-06
GRB081006872,8.133626e-07
GRB081008832,7.346521e-06
GRB081009140,3.790611e-05
GRB081009690,1.101402e-05
GRB081012045,1.171125e-06
GRB081012549,2.759853e-06
GRB081017474,6.854987e-07
GRB081021398,3.770929e-06
GRB081022364,1.432732e-06
GRB081024245,1.776127e-07
GRB081024851,5.582613e-06
GRB081024891,5.283829e-07
GRB081025349,6.528397e-06
GRB081028538,1.796079e-06
GRB081101167,2.52766e-07
GRB081101491,1.866612e-07
GRB081101532,1.659027e-05
GRB081102365,9.431494e-07
GRB081102739,3.476497e-06
GRB081105614,1.22189e-07
GRB081107321,1.246091e-06
GRB081109293,6.842292e-06
GRB081110601,8.567895e-06
GRB081113230,3.054319e-07
GRB081115891,9.292194e-08
GRB081118876,6.04455e-06
GRB081119184,1.015184e-07
GRB081120618,2.032306e-06
GRB081121858,1.479044e-05
GRB081122520,7.386609e-06
GRB081122614,1.212726e-07
GRB081124060,1.016927e-05
GRB081125496,1.808941e-05
GRB081126899,9.744997e-06
GRB081129161,1.42722e-05
GRB081130212,3.312581e-07
GRB081130629,1.921178e-06
GRB081204004,9.647749e-07
GRB081204517,2.818785e-07
GRB081206275,4.969039e-06
GRB081206604,6.34343e-07
GRB081206987,1.041952e-06
GRB081207680,6.097764e-05
GRB081209981,1.481328e-06
GRB081213173,1.223058e-07
GRB081215784,5.403095e-05
GRB081215880,2.498509e-06
GRB081216531,3.07739e-06
GRB081217983,8.059529e-06
GRB081221681,2.868932e-05
GRB081222204,1.207305e-05
GRB081223419,7.489789e-07
GRB081224887,3.671958e-05
GRB081225257,4.732775e-06
GRB081226044,4.610719e-07
GRB081226156,7.817988e-06
GRB081226509,3.767622e-07
GRB081229187,3.414902e-07
GRB081229675,
GRB081230871,6.161132e-08
GRB081231140,2.006911e-05
GRB090101758,1.186272e-05
GRB090102122,3.32971e-05
GRB090107681,3.901429e-06
GRB090108020,7.766709e-07
GRB090108322,3.261197e-07
GRB090109332,1.892927e-07
GRB090112332,4.423749e-06
GRB090112729,9.480557e-06
GRB090113778,1.385283e-06
GRB090117335,1.957785e-06
GRB090117632,1.683739e-05
GRB090117640,1.984507e-06
GRB090120627,2.05302e-07
GRB090126227,1.111412e-06
GRB090126245,
GRB090129880,5.308983e-06
GRB090131090,2.028893e-05
GRB090202347,8.974464e-06
GRB090206620,7.304911e-07
GRB090207777,3.308679e-06
GRB090213236,
GRB090217206,3.162088e-05
GRB090219074,1.596811e-07
GRB090222179,4.837002e-06
GRB090225009,6.17455e-07
GRB090227310,9.403241e-06
GRB090227772,8.934871e-06
GRB090228204,5.71936e-06
GRB090228976,9.984581e-07
GRB090301315,2.49972e-06
GRB090304216,1.702729e-06
GRB090305052,2.197733e-06
GRB090306245,1.059947e-06
GRB090307167,6.139924e-07
GRB090308734,2.986412e-06
GRB090309767,4.685404e-06
GRB090310189,5.537145e-06
GRB090316311,1.235038e-06
GRB090319622,5.584534e-06
GRB090320045,5.106658e-07
GRB090320418,7.495106e-07
GRB090320801,1.468201e-06
GRB090323002,0.0001286726
GRB090326633,1.654688e-06
GRB090327404,3.054833e-06
GRB090328401,5.250258e-05
GRB090328713,8.183772e-07
GRB090330279,1.59492e-05
GRB090331681,5.059652e-07
GRB090403314,1.215093e-06
GRB090405663,3.255543e-07
GRB090409288,4.025201e-07
GRB090411838,8.86156e-06
GRB090411991,8.06767e-06
GRB090412061,1.096565e-07
GRB090413122,3.442615e-06
GRB090418816,3.775959e-07
GRB090419997,1.031969e-05
GRB090422150,7.433494e-07
GRB090423330,1.057303e-06
GRB090424592,4.704599e-05
GRB090425377,1.517783e-05
GRB090426066,4.175601e-07
GRB090426690,2.842708e-06
GRB090427644,3.14042e-07
GRB090427688,1.487269e-06
GRB090428441,9.889293e-07
GRB090428552,6.478108e-06
GRB090429530,2.980399e-06
GRB090429753,1.198842e-06
GRB090502777,3.451796e-06
GRB090509215,2.904062e-06
GRB090510016,4.421703e-06
GRB090510325,1.841567e-06
GRB090511684,1.19356e-06
GRB090513916,7.16119e-06
GRB090513941,6.724277e-07
GRB090514006,5.77113e-06
GRB090514726,2.097321e-06
GRB090514734,6.227755e-06
GRB090516137,2.994027e-05
GRB090516353,2.309453e-05
GRB090516853,5.0585e-06
GRB090518080,1.109195e-06
GRB090518244,2.018874e-06
GRB090519462,9.552974e-07
GRB090519881,4.764208e-06
GRB090520832,1.068391e-07
GRB090520850,2.966428e-06
GRB090520876,5.316013e-06
GRB090522344,9.624748e-07
GRB090524346,1.42671e-05
GRB090528173,7.683158e-06
GRB090528516,4.524802e-05
GRB090529310,2.045484e-06
GRB090529564,9.814255e-06
GRB090530760,6.197762e-05
GRB090531775,1.511602e-06
GRB090602564,6.659991e-06
GRB090606471,3.211738e-07
GRB090608052,2.437628e-06
GRB090610648,1.889089e-06
GRB090610723,2.352206e-06
GRB090610883,1.479937e-06
GRB090612619,5.686003e-06
GRB090616157,1.762978e-07
GRB090617208,1.116921e-06
GRB090618353,0.0002744125
GRB090620400,1.496541e-05
GRB090620901,1.310395e-07
GRB090621185,6.876474e-06
GRB090621417,5.440554e-06
GRB090621447,2.400075e-06
GRB090621922,4.896397e-07
GRB090623107,2.203883e-05
GRB090623913,7.38386e-06
GRB090625234,1.805561e-06
GRB090625560,2.028037e-06
GRB090626189,7.819278e-05
GRB090626707,1.648155e-06
GRB090629543,4.140384e-07
GRB090630311,9.40523e-07
GRB090701225,1.192561e-06
GRB090703329,1.285403e-06
GRB090704242,1.206996e-05
GRB090704783,3.074084e-06
GRB090706283,9.117297e-07
GRB090708152,1.105812e-06
GRB090709630,2.787533e-06
GRB090711850,9.371472e-06
GRB090712160,9.208504e-06
GRB090713020,7.902915e-06
GRB090717034,2.688043e-05
GRB090717111,1.579455e-07
GRB090718720,1.184869e-06
GRB090718762,2.379136e-05
GRB090719063,4.855722e-05
GRB090720276,2.61814e-06
GRB090720710,1.028772e-05
GRB090725838,2.841634e-06
GRB090726218,
GRB090730608,2.353202e-06
GRB090802235,6.202924e-07
GRB090802666,3.059814e-06
GRB090804940,1.245038e-05
GRB090805622,3.911114e-06
GRB090807832,1.654177e-06
GRB090809978,2.271942e-05
GRB090810659,7.776309e-06
GRB090810781,4.075772e-06
GRB090811696,1.832673e-06
GRB090813174,2.657077e-06
