GRBname,type
GRB041223,C0
GRB041224,C0
GRB050117,C0
GRB050306,C0
GRB050318,C0
GRB050418,C0
GRB050716,C0
GRB050717,C0
GRB050904,C0
GRB051117A,C0
GRB060105,C0
GRB060413,C0
GRB060614,C0
GRB060814,C0
GRB061007,C0
GRB070220,C0
GRB070328,C0
GRB070419B,C0
GRB070420,C0
GRB070616,C0
GRB070911,C0
GRB071025,C0
GRB080207,C0
GRB080319B,C0
GRB080328,C0
GRB080613B,C0
GRB080727C,C0
GRB080810,C0
GRB081008,C0
GRB081203A,C0
GRB090201,C0
GRB090301A,C0
GRB090410,C0
GRB090418A,C0
GRB090618,C0
GRB090709A,C0
GRB090715B,C0
GRB090812,C0
GRB090904B,C0
GRB090926B,C0
GRB091024,C0
GRB100119A,C0
GRB100413A,C0
GRB100423A,C0
GRB100606A,C0
GRB100725B,C0
GRB100728A,C0
GRB100814A,C0
GRB101017A,C0
GRB110102A,C0
GRB110107A,C0
GRB110119A,C0
GRB110205A,C0
GRB110709A,C0
GRB110709B,C0
GRB110915A,C0
GRB111123A,C0
GRB111209A,C0
GRB120119A,C0
GRB120324A,C0
GRB120624B,C0
GRB120909A,C0
GRB120913B,C0
GRB121031A,C0
GRB121123A,C0
GRB130306A,C0
GRB130514A,C0
GRB130609B,C0
GRB130722A,C0
GRB130907A,C0
GRB130925A,C0
GRB140114A,C0
GRB140323A,C0
GRB140419A,C0
GRB140423A,C0
GRB140512A,C0
GRB140610A,C0
GRB140619A,C0
GRB140709A,C0
GRB140709B,C0
GRB141109A,C0
GRB150206A,C0
GRB150309A,C0
GRB150513A,C0
GRB150616A,C0
GRB150727A,C0
GRB151006A,C0
GRB151021A,C0
GRB160119A,C0
GRB160131A,C0
GRB160223A,C0
GRB160703A,C0
GRB160804A,C0
GRB160821A,C0
GRB160905A,C0
GRB161105A,C0
GRB161117A,C0
GRB161202A,C0
GRB170810A,C0
GRB170906A,C0
GRB171027A,C0
GRB171209A,C0
GRB180111A,C0
GRB180404B,C0
GRB180411A,C0
GRB180620B,C0
GRB180623A,C0
GRB180720B,C0
GRB180809B,C0
GRB180823A,C0
GRB181110A,C0
GRB190106A,C0
GRB190203A,C0
GRB190604B,C0
GRB200115A,C0
GRB200303A,C0
GRB200306C,C0
