GRBname,type
1009,L
1025,S
1036,L
1039,L
1042,L
1046,L
105,L
1051,S
107,L
1073,S
1076,S
108,L
1085,L
1086,L
1087,L
1088,S
109,L
1096,S
1097,S
110,L
1102,S
111,L
1112,S
1114,L
1120,L
1122,L
1123,L
1125,L
1126,L
1128,S
1129,S
114,L
1141,L
1145,L
1148,L
1150,L
1152,L
1153,L
1154,S
1156,L
1157,L
1159,L
1167,L
1190,L
1192,L
1196,L
1197,L
1204,S
121,L
1211,S
1213,L
1218,L
1221,L
1223,S
1235,L
1244,L
1279,L
1288,L
1289,S
1291,L
1298,L
130,L
1303,L
1306,L
1308,S
1318,L
133,L
1346,L
1359,S
138,S
1382,L
1384,L
1385,L
1390,L
1396,L
1404,L
1406,L
1416,L
1419,L
1425,L
143,L
1432,L
1435,L
1439,L
1440,L
1443,L
1446,L
1447,L
1449,L
1452,L
1453,S
1456,L
1458,L
1461,S
1463,S
1467,L
1468,L
1472,L
148,L
1481,S
1515,L
1551,L
1552,L
1559,L
1566,S
1574,L
1578,L
1579,L
1580,L
160,L
1601,L
1604,L
1606,L
1609,L
1611,L
1614,L
1623,L
1625,L
1626,S
1628,L
1634,S
1635,S
1636,L
1637,L
1642,L
1646,L
1651,L
1652,L
1653,L
1655,L
1656,L
1657,L
1659,S
1660,L
1661,L
1662,S
1663,L
1664,L
1665,S
1667,L
1676,L
1679,L
1680,S
1683,L
1687,L
1693,L
1694,S
1700,L
1701,L
1704,L
1709,L
171,L
1711,L
1712,L
1714,L
1717,L
1730,L
1731,L
1733,L
1734,L
1736,S
1740,L
1741,S
1742,L
1747,S
1760,S
179,L
1791,S
1806,L
1807,L
1815,L
1819,L
1830,L
185,S
1851,S
1883,L
1885,L
1886,L
1922,L
1924,L
1953,S
1956,L
1967,L
1968,S
1974,L
1982,L
1989,L
1991,L
1993,L
1997,L
2003,S
2018,L
2019,L
2035,S
2037,L
204,L
2040,S
2041,L
2043,S
2044,L
2047,S
2049,S
2053,L
2056,L
2061,L
2067,L
2068,S
2069,L
207,S
2070,L
2074,L
2077,L
2079,L
2080,L
2081,L
2083,L
2087,L
2090,L
2093,L
2095,S
2099,L
2101,L
2102,L
2103,S
2105,L
2106,L
211,L
2110,L
2111,L
2112,L
2114,L
2115,S
2117,S
2122,L
