name,fluence
GRB080714086,2.523109e-07
GRB080714425,1.522466e-07
GRB080714745,3.632314e-07
GRB080715950,5.801755e-07
GRB080717543,4.870502e-07
GRB080719529,1.967251e-07
GRB080723557,1.240446e-06
GRB080723913,9.170522e-07
GRB080723985,7.774412e-07
GRB080724401,3.368712e-07
GRB080725435,3.060406e-07
GRB080725541,1.824959e-06
GRB080727964,2.162155e-07
GRB080730520,4.707224e-07
GRB080730786,4.665185e-07
GRB080802386,2.429487e-06
GRB080803772,2.344647e-07
GRB080804456,1.133774e-07
GRB080804972,4.739085e-07
GRB080805496,8.749455e-08
GRB080805584,1.616523e-07
GRB080806584,1.889811e-07
GRB080806896,1.385916e-07
GRB080807993,6.213097e-07
GRB080808451,1.366993e-07
GRB080808565,2.013827e-07
GRB080808772,1.672434e-07
GRB080809808,1.377623e-07
GRB080810549,3.538547e-07
GRB080812889,1.817404e-07
GRB080815917,9.697511e-07
GRB080816503,2.914886e-07
GRB080816989,1.049102e-06
GRB080817161,7.168898e-07
GRB080817720,3.478247e-07
GRB080818579,1.487468e-07
GRB080818945,1.289646e-07
GRB080821332,4.540492e-07
GRB080823363,2.947807e-07
GRB080824909,2.990437e-07
GRB080825593,1.223967e-06
GRB080828189,1.986465e-07
GRB080829790,2.248354e-07
GRB080830368,2.464185e-07
GRB080831053,9.395221e-07
GRB080831921,2.163358e-07
GRB080904886,2.250642e-07
GRB080905499,1.233681e-06
GRB080905570,1.510769e-07
GRB080905705,1.750803e-07
GRB080906212,4.428646e-07
GRB080912360,1.859354e-07
GRB080913735,1.341648e-07
GRB080916009,1.085794e-06
GRB080916406,3.341512e-07
GRB080919790,8.688506e-07
GRB080920268,1.531684e-07
GRB080924766,1.818743e-07
GRB080925775,6.415676e-07
GRB080927480,1.542014e-07
GRB080928628,1.622534e-07
GRB081003644,2.506983e-07
GRB081006604,4.224636e-07
GRB081006872,1.993375e-07
GRB081008832,1.755757e-07
GRB081009140,1.16439e-06
GRB081009690,3.726019e-07
GRB081012045,2.044111e-06
GRB081012549,3.008991e-07
GRB081017474,1.119911e-07
GRB081021398,2.465138e-07
GRB081022364,2.34111e-07
GRB081024245,1.395473e-06
GRB081024851,1.189476e-07
GRB081024891,1.036201e-06
GRB081025349,3.767093e-07
GRB081028538,1.600041e-07
GRB081101167,2.481756e-07
GRB081101491,9.764049e-07
GRB081101532,1.628441e-06
GRB081102365,9.865668e-07
GRB081102739,1.261355e-07
GRB081105614,1.919288e-06
GRB081107321,6.521617e-07
GRB081109293,2.314053e-07
GRB081110601,7.63728e-07
GRB081113230,9.585915e-07
GRB081115891,7.294267e-07
GRB081118876,2.822351e-07
GRB081119184,7.966601e-07
GRB081120618,1.32854e-07
GRB081121858,7.252732e-07
GRB081122520,4.82944e-07
GRB081122614,9.522398e-07
GRB081124060,3.833181e-07
GRB081125496,1.368011e-06
GRB081126899,4.341665e-07
GRB081129161,4.999831e-07
GRB081130212,8.115887e-08
GRB081130629,2.691243e-07
GRB081204004,3.152236e-07
GRB081204517,1.476193e-06
GRB081206275,2.866937e-07
GRB081206604,1.553743e-07
GRB081206987,1.459276e-07
GRB081207680,6.10106e-07
GRB081209981,5.829793e-06
GRB081213173,9.606181e-07
GRB081215784,3.318309e-06
GRB081215880,2.226647e-07
GRB081216531,4.837418e-06
GRB081217983,3.436418e-07
GRB081221681,6.864332e-07
GRB081222204,5.921546e-07
GRB081223419,1.069779e-06
GRB081224887,1.638581e-06
GRB081225257,1.599191e-07
GRB081226044,1.448644e-06
GRB081226156,9.118762e-08
GRB081226509,1.47927e-06
GRB081229187,1.339986e-06
GRB081229675,
GRB081230871,9.675092e-07
GRB081231140,5.044868e-07
GRB090101758,3.429926e-07
GRB090102122,9.069681e-07
GRB090107681,3.48431e-07
GRB090108020,1.016211e-06
GRB090108322,1.279395e-06
GRB090109332,4.242052e-07
GRB090112332,2.408375e-07
GRB090112729,5.814168e-07
GRB090113778,2.262735e-07
GRB090117335,3.206055e-07
GRB090117632,1.876371e-07
GRB090117640,1.495833e-07
GRB090120627,1.610893e-06
GRB090126227,1.212891e-07
GRB090126245,
GRB090129880,3.253306e-07
GRB090131090,6.641941e-07
GRB090202347,4.634022e-07
GRB090206620,2.294789e-06
GRB090207777,2.703638e-07
GRB090213236,
GRB090217206,9.688332e-07
GRB090219074,2.510822e-06
GRB090222179,3.384823e-07
GRB090225009,3.028237e-07
GRB090227310,6.149594e-07
GRB090227772,1.282906e-05
GRB090228204,1.004051e-05
GRB090228976,1.39787e-07
GRB090301315,3.501122e-07
GRB090304216,2.787259e-07
GRB090305052,2.15578e-06
GRB090306245,9.444181e-08
GRB090307167,1.003031e-07
GRB090308734,2.131222e-06
GRB090309767,2.186825e-07
GRB090310189,1.510644e-07
GRB090316311,1.73137e-07
GRB090319622,1.767402e-07
GRB090320045,2.503599e-07
GRB090320418,1.837195e-07
GRB090320801,2.397886e-07
GRB090323002,6.751567e-07
GRB090326633,1.473977e-07
